발화자,발화문,인텐트
s,네 별도로 없습니다,구매 목록
c,흠그런가요,구매 목록
s,네 죄송합니다,구매 목록
c,아까 생일쿠폰 사용가능한가요?,구매 목록
s,아 지금 할인되신 제품만 구입하셔서 모자에만 사용 가능하네요,구매 목록
c,아 그렇군요,구매 목록
s,생일쿠폰은 내년 3월까지 사용가능하세요,구매 목록
c,네 생일쿠폰 사용하러 왔어요,구매 목록
s,아 보시고 맘에 드시는거 있으시면 말씀해주세요,구매 목록
c,아 할인이 없어서 좀 비싸네요,구매 목록
s,네 완전 신상품이에요,구매 목록
c,아 세일 안들어가나요?,구매 목록
s,네 이건 신제품이라 세일이 별도 없습니다,구매 목록
c,이건 할인되나요?,구매 목록
s,아 신상품이라 할인 안들어가요,구매 목록
c,할인은 없나요?,구매 목록
s,네 할인은 별도 없어요,구매 목록
c,생일 쿠폰 하면 얼마죠?,구매 목록
s,225만원 정도 되나요,구매 목록
c,아까 생일쿠폰 사용가능한가요?,구매 목록
s,네 다 사용 가능하네요,구매 목록
c,쿠폰 적용이 안 되네요?,구매 목록
s,쿠폰 다운받아 사용하시면 됩니다. 현재 정상적으로 반영되고 있습니다.,구매 목록
c,가격이 냬렸다가 결재하려 보니다시 오르고 구입이 망설여지녜요 언제 또 인하되나여?,구매 목록
s,가격 부분은 일시적인 오류로 현재 할인 일정은 아직 정해지지 않아 정확한 정보 전달이 어려운 점 양해 바랍니다.,구매 목록
c,20퍼센트 쿠폰은 이제 없나요?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,상품이 없음 없다고 연락하고 상품 취소를 해드릴까요 물어야지 하나는 말도 없이 보내고 하나는 저보고 환불하라니 무슨 경웁니까 그럼 하나 상품은 할인율도 하나도 적용 안 한 걸 그 대도 사라구요?,구매 목록
s,금일수거접수도와 드렸으며 반송하신 후 재문의 주시면 빠른 환불 처리도와 드리도록 할게요.,구매 목록
c,20퍼센트 추가 할인 쿠폰을 받을 수 없나요?,구매 목록
s,스토어 찜을 하셔야 다운받을 수 있는 쿠폰입니다.,구매 목록
c,쿠폰이 왜 10퍼센트로죠?,구매 목록
s,문의하신 내용에 대한 답변 드립니다. 상품마다 적용되는 쿠폰의 퍼센트가 다릅니다.,구매 목록
c,요번토요일 방송할 때 가격할인이 더 되져?,구매 목록
s,각 프로모션 진행 시 상품별로 가격 구성 사은품 등의 혜택이수시 변동되다보니 행사기간별로 판매가격이나 구성이 다를수 있어 방송 시 혜택을 미리 알수는 없는 점 양해 부탁드려요.,구매 목록
c,일시불 할인은 없어요?,구매 목록
s,안타깝게도 해당 제품에는 무이자 12개월 할부와 카드사별 5퍼센트 할인 혜택만 적용 가능하며 말씀하신 일시불 할인 혜택은 없습니다.,구매 목록
c,즉시 할인됩니까?,구매 목록
s,문의주신 내용 사이트 고객센터로 문의 바랍니다.,구매 목록
c,1500원 즉시 할인이 안 되요. 자동으로 빠지는 거 아닌가요?,구매 목록
s,판매자 올 삭스입니다. 저희가 판매하는 트립 삭스는 1개당 6500원 상품입니다.,구매 목록
c,30 프로 쿠폰은 어디 있나요?,구매 목록
s,쿠폰 행사는 종료되었습니다.,구매 목록
c,20퍼센트 쿠폰 어디에서 받아요?,구매 목록
s,10만원 이상 구매 시 20퍼센트 할인 쿠폰은 기간 완료되었습니다. 이미지원복이 아직 안 된 점죄송합니다.,구매 목록
c,"28일 날 장바구니 담아놨는데 오늘 확인해보니 가격이 올랐네요 8, 100 - 8, 550가격이 다시 다운될수 있는지요?",구매 목록
s,문의 주신 가격은 쿠폰 등 각종 행사는 변경될수 있는 점 참고 부탁드려요.,구매 목록
c,20 프로 할인 쿠폰 어디서 받나요?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,결제 누르면 할인 전 가격으로 결제되네요?,구매 목록
s,죄송하지만 결제 관련하여 문의사항은 구매하신 쇼핑몰에 재문의 부탁드릴게요.,구매 목록
c,5 만 원 이상 20퍼센트 할인이라고 해서 구매하는 데 할인 적용이 안 되네요?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,할인 쿠폰 관련하여 블랙프라이데이 베너를 클릭하여 다운을 받을 경우 앱 전용이 30퍼센트인데 일반 구매 시 30퍼센트 적용 쿠폰은 없는 것인가요?,구매 목록
s,문의하신 30퍼센트 쿠폰 행사는 종료되었습니다.,구매 목록
c,30퍼센트 쿠폰은 어디에서 다운받나요?,구매 목록
s,쿠폰 행사는 종료되었습니다.,구매 목록
c,아침에 99000원장 바구니 넣어놓고 퇴근해서 결재하려고 보니 가격 뭔가요?,구매 목록
s,문의 주신 상품은 기간 한정으로 특가로 진행되어 다가 행사 기간이 끝나 가격이 환원된 것으로 확인되요.,구매 목록
c,품절될까봐 일단 주문은 했는데 30 프로 쿠폰 적용이 안 되는데요?,구매 목록
s,쿠폰 사용 가능합니다.,구매 목록
c,쿠폰 적용가로 사고 싶은데 쿠폰 다운 어디서 받나요?,구매 목록
s,이미 시상단에 있는 쿠폰 다운받으시면 자동 적용됩니다.,구매 목록
c,20퍼센트 할인 쿠폰은 어떻게 받을수 있습니까?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,어제까지만 해도 세일해서 가격이 저렴했는데 행사 끝난 건가요?,구매 목록
s,죄송하지만 결제 관련하여 문의사항은 구매하신 쇼핑몰에 재문의 부탁드릴게요.,구매 목록
c,한정득 템가와 20퍼센트 쿠폰가와 비교해서 저렴한 걸로 구입하면 되는 거에 여?,구매 목록
s,쿠폰의 경우 행사 예산 소진 시 자동 종료되고 있으며 실시간으로 상품 페이지가 변동되지 않기 때문에 현재 적용 가능한 쿠폰으로만 사용이 가능해요.,구매 목록
c,20퍼센트 할인 적용받고 싶은데 쿠폰 어떻게 받나요?,구매 목록
s,스토어 찜하셔야 다운 가능한 쿠폰입니다.,구매 목록
c,쿠폰이 어디 있나요?,구매 목록
s,이미 종료된 행사입니다.,구매 목록
c,2만원 이상 30퍼센트 할인이던데 주문하려고 하면 할인이 안 되던데 어떻게 해야 하는 건가요?,구매 목록
s,자세한 문의는 해당 마켓으로 문의 부탁드려요.,구매 목록
c,쿠폰 적용이 안 되죠?,구매 목록
s,쿠폰 할인 혜택 관련 문의는 티켓몬스터 고객센터에 문의하시기 바랍니다.,구매 목록
c,추가 30로 할인은 어떻게 받는 건가요?,구매 목록
s,상단 베너 부분 쿠폰 다운 후 적용하시면 됩니다.,구매 목록
c,20퍼센트 쿠폰이 어디 있는 건가요?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,VIP 할인은 안 됨?,구매 목록
s,문의주신 VIP 할인 적용 껀은 라이브 방송 일자 확정시 VIP 할인 적용됩니다.,구매 목록
c,7월 11일 방송 건 미리 주문해도 조건 동일한 가요?,구매 목록
s,아직 확정된 내용이 없어 방송을 통해 확인 부탁드려요.,구매 목록
c,1500원 즉시 할인이 안 되요. 자동으로 빠지는 거 아닌가요?,구매 목록
s,저희가 판매하는 트립 삭스는 1개당 6500원 상품입니다. 2개 하시면 13000원으로 1500원 할인된 가격이 11500원입니다.,구매 목록
c,구매하려 구보니 할인해 택이 사라졌네요. 많이 구매하려 구했는데 언제 다시 할인이 적용됩니까?,구매 목록
s,쿠폰 행사의 경우 예산 소진 시 자동 종료되는 점 양해 부탁드려요.,구매 목록
c,30 프로 쿠폰은 어떻게 구 하나요?,구매 목록
s,옵션 선택 부분에 쿠폰 다운받기에서 다운받으시면 자동 적용됩니다.,구매 목록
c,카드 할인 없나여?,구매 목록
s,카드 할인 행사는 날짜별로 달라지기 때문에 확인 후 주문해 주세요.,구매 목록
c,10퍼센트 즉시 할인은 어떻게 적용시키면 되는 건가요?,구매 목록
s,문의하신 내용 사이트 고객센터로 문의 부탁드려요.,구매 목록
c,30퍼 쿠폰 할인 적용이 안 되는데요?,구매 목록
s,모바일로 해당 페이지 접속 후 상단에 쿠폰 모두 받기 클릭 후 옵션 선택해주시면 자동 적용됩니다.,구매 목록
c,55번 넥타이 왜 쿠폰 적용이 안 되나요?,구매 목록
s,쿠폰 사용 조건에 맞는 제품만 적용됩니다.,구매 목록
c,가격이 왜 또 올람?,구매 목록
s,현재 할인 이벤트 기간이 종료되었습니다 현재 저희 자사 사이트 클릭 앤퍼니 에 접속하시면 할인 이벤트 기간이라 할인 금액으로 구매 가능해요.,구매 목록
c,20퍼센트 쿠폰어케 적용하는 거에요?,구매 목록
s,쿠폰의 경우 행사 예산 소진 시 자동 종료되고 있으며 실시간으로 상품 페이지가 변동되지 않기 때문에 현재 적용 가능한 쿠폰으로만 사용이 가능해요.,구매 목록
c,쿠폰을 어떻게 받아요?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,1+1 즉시 할인은 어떻게 적용 하나유?,구매 목록
s,직접 도움을 결제 부분은 판매자가 드리지 못하네요자세한 문의는 고객센터로 접수 부탁드려요.,구매 목록
c,나이키 우수 고객 시크릿 쿠폰 쓰려고 하는데 안 써지네요 이 신발은 안 써지는 건가요?,구매 목록
s,죄송하지만 결제 관련하여 문의사항은 구매하신 쇼핑몰에 재문의 부탁드릴게요.,구매 목록
c,어떻게 하면 쿠폰 할인 가격으로 구매할 수 있는 건가요?,구매 목록
s,해당 딜 은 행사가 종료되어 현재 쿠폰 가로 구매가 불가능합니다. 상품 이미지 변경이 안 되어 구매에 혼동을 드려 대단히 죄송합니다.,구매 목록
c,리버스 디멘션 후드티 가격은 23900원이 고추가로 30 프로 할인 쿠폰이 된다는 데 구매할려고 들어가니 이미 쿠폰 적용된 가격이 23900원인데 맞나요?,구매 목록
s,문의 주신 내용 확인하였습니다. 확인 결과 최종 구매금액이 23 900원으로 확인됩니다.,구매 목록
c,이 상품은 VVIP 할인 없는 건가요?,구매 목록
s,앞길이를 더하면 되지만 정확한 총장보다는 참고용 총장으로만 알고 계시면 좋을 것 같아요.,구매 목록
c,할인 안 되는 건가요?,구매 목록
s,9월 26일 단 하루만 할인 적용됩니다.,구매 목록
c,결제했는데 20퍼센트 쿠폰가 적용이 안 되었네요?,구매 목록
s,현재 쿠폰 적용은 정상적으로 진행이 되고 있는 상태이며 쿠폰 적용은 결제 단계에서 다운받아 보신쿠폰을 선택 후 적용해 주셔야 되세요.,구매 목록
c,"3번 제품 쿠폰을 써도 13,900원이 안 되는데 어떤 쿠폰을 써야 하죠?",구매 목록
s,쿠폰은 조기 소진되어 종료되었습니다. 다음에 다시 이용부탁드려요.,구매 목록
c,30 프로 쿠폰은 어떻게 받나요?,구매 목록
s,상품 페이지 상단 베너 부분에 쿠폰 다운받아서 적용하셔야 합니다.,구매 목록
c,"6 퍼센트 할인 표시되어 있는데 구매하려고 보면 169,000원 그대로 되요 왜 그래요?",구매 목록
s,개인정보를 상품 문의에선 고객님의 주문이력 및 알수가 없어 바로 답변이 어렵습니다.,구매 목록
c,추가 할인은 어떻게 받는 건가요?,구매 목록
s,쿠폰 다운시 적용됩니다.,구매 목록
c,이러다 또 할인하실까봐 너무 마음에 드는데 좀 있다 구매해야 하는지 이 상품은 할인 안하실 거죠?,구매 목록
s,본 상품은 지난 주말 첫 선을 보였으며 근시일 내 확정된 할인 예정은 없습니다.,구매 목록
c,10퍼센트 밖에 안 되는데 왜 20퍼센트라고 광고 하겠죠?,구매 목록
s,20퍼센트 쿠폰 발급하시어 적용 부탁드려요.,구매 목록
c,"15,20퍼센트 쿠폰은 어디에서 다운받는 건가요?",구매 목록
s,문의하신 상품 상세 페이지 상단에 쿠폰 다운로드 로고 클릭하시면 다운로드 하실 수 있습니다.,구매 목록
c,20퍼센트 클리어런스 쿠폰은 어떻게 받아요?,구매 목록
s,20퍼센트 쿠폰은 12/31부터 다운로드 가능합니다.,구매 목록
c,가격 인하되지 않나여?,구매 목록
s,고객님이미 할인률이 많이 적용되어 더 이상 가격 인하될지는 정확한 답변 드리기가 어렵습니다.,구매 목록
c,30 프로 할인 쿠폰 없나요?,구매 목록
s,30 프로쿠폰 기간은 내일 하루입니다.,구매 목록
c,가격 할인 159. 900원 뜨는 데 결제창에 할인 쿠폰만 원 적용해도 159. 900인 가요?,구매 목록
s,판매가 169 900원에서 1만원 할인 쿠폰 적용된 할인금액이 159 900원입니다.,구매 목록
c,단독 추가 20 프로 쿠폰 발급은 어디서 받을 수 있나요?,구매 목록
s,쿠폰은 상세 페이지 상단에 확인되며 조건이 맞을 시에만 적용됩니다.,구매 목록
c,"3일간 할인한다고 공지가 있는데, 왜 세일가 적용이 인되죠?",구매 목록
s,행사 종료된 부분으로 확인되었어요.,구매 목록
c,낮에는 99000원이더니 저녁에 129000원은 먼 가요?,구매 목록
s,문의 주신 상품은 기간 한정으로 특가로 진행되어 다가 행사 기간이 끝나 가격이 환원된 것으로 확인되요.,구매 목록
c,30퍼센트 할인 쿠폰받아도 적용이 왜 안 되는지요?,구매 목록
s,쿠폰 행사 종료되어 사용 불가합니다.,구매 목록
c,1. VIP 할인은 안 되쥬?,구매 목록
s,문의주신 VIP 할인 적용 껀은 라이브 방송 일자 확정시 VIP 할인 적용됩니다.,구매 목록
c,이제 20 프로 할인 쿠폰 발급 안 되니?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,30퍼센트 할인 쿠폰은 어디에서 다운받을 수 있나요?,구매 목록
s,해당 이벤트는 어제 일자로 종료되었습니다 다음번 이벤트 때 참여 부탁드리겠습니다.,구매 목록
c,25퍼센트 할인가 적용이 되는 건가요?,구매 목록
s,해당 상품 페이지는 주말에 진행된 상품으로 쿠폰은 주말 한정으로 적용이 가능했습니다.,구매 목록
c,5만원 이상 20퍼센트 할인 쿠폰은 끝난 건가요?,구매 목록
s,쿠폰 적용의 경우 매딜마다 다르게 적용되며 행사 예산 소진시 별도의 안내 없이 자동 종료되고 있어요.,구매 목록
c,정장세트 구매 시 할인으로 알고 있는데 할인 적용은 어떻게 받나요?,구매 목록
s,이미지 상단에 쿠폰 다운받으셔서 구매하시면 됩니다.,구매 목록
c,"가격이 1천원 더 저렴한데, 그건 어떻게 처리되는 건가요?",구매 목록
s,입금 또는 동봉하실 때 4000입금 하시면 될 듯합니다.,구매 목록
c,30퍼센트 할인가가 밑에 써 있는데 적용하려면 어떻게 해야 할까요?,구매 목록
s,상단에서 쿠폰 발급한 후 구매 시 결제에서 적용 가능해요.,구매 목록
c,히든쿠폰이 15퍼센트 없어요?,구매 목록
s,상품마다 적용되는 쿠폰의 퍼센트가 다릅니다.,구매 목록
c,"아래 문의보면 30퍼센트 쿠폰 적용이 안 된다고 했는데, 저도 재구매용으로 지금 다운다시 받아서 사용하려고 하니, 다운은 되는데 적용이 안 되네요?",구매 목록
s,문의 주 신제품은 종료된 딜로 구매가 불가합니다.,구매 목록
c,아직까지 할인은 안 되나요?,구매 목록
s,문의하 신 상품은 현재 특가 진행은 확인되지 않습니다.,구매 목록
c,3만원 할인 문구가 있는데 결제 시 3만원 할인 적용이 안 됩니다. 뭔가요?,구매 목록
s,3만원 할인은 진행하고 있지 않으며 혼돈을 상품명 오기재로 이용에 드린 점 대단히 죄송합니다.,구매 목록
c,30 프로 쿠폰 어디서 다운받나요?,구매 목록
s,상단 10퍼센트 쿠폰만 다운 가능합니다. 참고하여 구매 부탁드립니다.,구매 목록
c,이벤트 중이라서 구매한 건데 왜 할인 특가가 적용되지 않은 금액으로 결제된 거죠?,구매 목록
s,옵션 1번 한정수량 특가 상품의 경우 준비된수량이 모두소진되어 조기 마감되었습니다.,구매 목록
c,아래 분 말씀처럼 20퍼센트 할인이라고 해서 주문하고 보니 아니던데 지금은 가격을수정했네요 그럼 할인 적용받을 때 주문한 건 어찌 처리되져?,구매 목록
s,문의하신 에센셜 스트레치 슬랙스 팬츠 2종 세트SASJAZ43 상품은 15900원 상품으로 확인되고 있어요.,구매 목록
c,20퍼센트 쿠폰은 어떻게 받아서 쓰나요?,구매 목록
s,죄송하지만 쿠폰 종료된 것으로 확인되요.,구매 목록
c,7월 10퍼센트 할인 쿠폰은 어디에 있?,구매 목록
s,10퍼센트 쿠폰 경우 상품 창 내려보시면 7월 1일 2일까지만 진행되신 부분으로 확인되십니다 상품창은 변경되실 예정이니 예정입니다.,구매 목록
c,선택 38) 마커스 바이마커스 루퍼 코듀로이 세미와이드 팬츠 1종 카드 할인 없나요?,구매 목록
s,카드 할인 행사는 날짜별로 달라지기 때문에 확인 후 주문해 주세요.,구매 목록
c,30 프로 쿠폰 추가로 어떻게 적용 하나요?,구매 목록
s,모바일로 해당 페이지 접속 후 상단에 쿠폰 모두 받기 클릭 후 상품 선택해주시면 자동 적용됩니다.,구매 목록
c,30 프로 할인 쿠폰이 없는데 끝난 건가요?,구매 목록
s,쿠폰은 조기 소진되어 종료되었습니다.,구매 목록
c,30퍼 추가 쿠폰 준다고 써 있는데 어디 있나요?,구매 목록
s,판매 종료된 상품으로 확인됩니다.,구매 목록
c,20 프로 쿠폰 어디서 받나요?,구매 목록
s,쿠폰의 경우 행사 예산 소진 시 자동 종료되고 있어요.,구매 목록
c,방송 전 구매해도 가격 구성 같습니까?,구매 목록
s,구성은 동일하나 가격 할인은 변경될수 있으니 참고 부탁드려요.,구매 목록
s,카드결제시죠?,구매 목록
c,네 여기 백화점카드요,구매 목록
c,여기는 지역화폐 되나요?,구매 목록
s,여기는 안돼요,구매 목록
c,저기서도 상품권쓸수 있어요?,구매 목록
s,네 쓸수 있어요 똑같아요,구매 목록
s,이렇게 차에 올려놓을게요. 카드결제 하실 거예요?,구매 목록
c,현찰로 할게요,구매 목록
c,그래요. 그냥 계좌이체 할게요,구매 목록
s,이 계좌로 보내주시면 돼요,구매 목록
c,"다 예쁜 것 같은데, 카드도 돼요?",구매 목록
s,아 이거 카드로 하면 할인이 덜 돼요,구매 목록
c,그럼 계좌 이체 해도 돼요?,구매 목록
s,네 계좌 이체 해 주세요,구매 목록
c,계좌이체 해드릴게요,구매 목록
s,"네, 여기에 해 주시면 돼요",구매 목록
c,아 현금 있는 것 같아. 잠깐만요. 있다있다,구매 목록
s,네 고맙습니다,구매 목록
c,오늘 마침 남편이 카드를 줘가지고 오늘은 이걸로 할게요,구매 목록
c,아 맞다. 그거 물어보려고 했는데. 여기는 세일 하면 문자 발송 같은 거 하잖아요. 그런 거 안 하세요?,구매 목록
s,아유 당연히 있죠,구매 목록
s,계산은 어떻게 하시나요?,구매 목록
c,카드로 할게요,구매 목록
c,계좌이체 해드려도 되지요?,구매 목록
s,네 농협입니다,구매 목록
c,계좌이체 해드려도 되지요?,구매 목록
s,네 oo입니다,구매 목록
c,현금으로 결재하면 혜택있나요?,구매 목록
s,양말 서비스로 드려요,구매 목록
c,카드는 무이자 혜택있나요?,구매 목록
s,네 oooo 3개월 무이자예요,구매 목록
c,카드되지요?,구매 목록
s,네 됩니다,구매 목록
c,지역화폐도 되나요?,구매 목록
s,네 가능합니다,구매 목록
c,온누리상품권 받나요?,구매 목록
s,네 전부 다 받아요,구매 목록
c,김천사랑카드도 받나요?,구매 목록
s,네 다 받아요,구매 목록
c,거기 혹시 경기도 지역카드 있잖아요 그거 돼요?,구매 목록
s,저희 불가능 하다고 하시거든요,구매 목록
c,그 카드로 결제하는건 불가능해요?,구매 목록
s,네,구매 목록
c,지역화폐되나요?,구매 목록
s,네 됩니다,구매 목록
c,네 괜찮아요 그냥 주세요 혹시 oo카드 결제하면,구매 목록
s,아 여기는 ooo 인데요 ooo 포인트 있으시면,구매 목록
c,아 여기 지역화페도 받아요?,구매 목록
s,네,구매 목록
c,아 여기 지역화페도 받아요?,구매 목록
s,네 그럼요,구매 목록
c,카드 되죠?,구매 목록
s,네,구매 목록
c,상품권 받나요?,구매 목록
s,네 받아요,구매 목록
c,온누리도 받아요?,구매 목록
s,네 다 받아요,구매 목록
c,계좌이체 해드려도 되지요?,구매 목록
s,네 oo입니다,구매 목록
c,지역화폐도 돼요?,구매 목록
s,지역화폐는 안됩니다,구매 목록
s,카드는 일시불인가요?,구매 목록
c,네네,구매 목록
c,용인와이페이카드 이런 거 안돼죠?,구매 목록
s,네 엘 포인트 해드릴까요?,구매 목록
s,결제는 현금이세요? 카드세요?,구매 목록
c,카드결제요,구매 목록
s,어 할부 하시겠어요,구매 목록
c,아니요 일시불로요,구매 목록
s,결제는 어떻게 해 드릴까요,구매 목록
c,카드로 할게요,구매 목록
s,어 결제는 어떤걸로 해드릴까요,구매 목록
c,이음카드 되나요,구매 목록
s,어 네 가능해요,구매 목록
s,그럴 수도 있어요 요거 거스름돈 금방 챙겨드릴게요,구매 목록
s,저희 만원 짜리가 부족해서 그런데 오천원짜리 섞어도 되요,구매 목록
c,그래야지 뭐 부족하다는데 여기 이거 사은품 안 주나,구매 목록
c,카드 드려야 해요?,구매 목록
s,네 oo카드 랑 재결제하실 카드 이거 취소 되셨구요,구매 목록
s,음 결제는 어떤 걸로 하시겠어요,구매 목록
c,카드로 할게요,구매 목록
c,카드로 결제할게요,구매 목록
s,카드 결제하세요?,구매 목록
c,네,구매 목록
c,아 이음 카드 사용 가능한가요,구매 목록
s,네 가능합니다,구매 목록
s,그러면 결제 해드릴까요,구매 목록
c,카드로 해주세요,구매 목록
s,카드로 결재할거죠?,구매 목록
c,네,구매 목록
c,여기 혹시 이음 카드 사용 가능한가요,구매 목록
s,네 이음카드 사용 가능해요,구매 목록
s,결제는 어떤 걸로 하시겠어요,구매 목록
c,카드로 할게요,구매 목록
s,결제는 뭘로 하시겠어요,구매 목록
c,카드로 할게요,구매 목록
c,혹시 여기도 페이가 되나요?,구매 목록
s,네 그럼요 가능하세요,구매 목록
c,그럼 요기 페이 카드로 할께요,구매 목록
s,네,구매 목록
s,결제는 어떤 걸로 해 드릴까요,구매 목록
c,상품권으로 할게요,구매 목록
s,어 결제는 뭘로 해드릴까요,구매 목록
c,카드로 할게요,구매 목록
s,카드로 결재할거죠?,구매 목록
c,네,구매 목록
c,이음 카드도 가능한가요,구매 목록
s,네 이음카드 돼요,구매 목록
s,네 고객님 뭐 어떤 걸로 해 드릴까요,구매 목록
c,체크카드에요,구매 목록
s,카드로 현금으로,구매 목록
c,카드로 줄께요,구매 목록
s,카드로요 팔천원이요,구매 목록
s,드릴게요 결제는 어떤걸로 해드릴까요,구매 목록
c,카드로 할게요,구매 목록
c,현금으로 하면 좋은데 그냥 그걸로 할께요,구매 목록
s,네 감사합니다 일단은,구매 목록
s,네 카드로 하실 거예요,구매 목록
c,어 네  카드로 결제할거예요,구매 목록
s,결재는 어떤걸로 하시겠어요,구매 목록
c,혹시 제로페이 가능한가요?,구매 목록
s,네 가능합니다,구매 목록
c,그럼 제로페이로 결재할께요,구매 목록
s,네.. 이곳에서 해주시면 되세요,구매 목록
s,결제는 카드로 하시는 거죠?,구매 목록
c,네 카드결제할게요,구매 목록
c,저 그런데 온누리상품권도 사용가능한가요?,구매 목록
s,네 사용 가능하세요,구매 목록
c,10만원권이 있어서요 이거 사용할게요,구매 목록
s,네 알겠습니다,구매 목록
s,카드로 하시겠어요?,구매 목록
c,네 카드 결제할게요,구매 목록
s,카드 주세요,구매 목록
c,네 여기 있습니다,구매 목록
c,카드되죠,구매 목록
s,별 말씀을요. 계산은 카드로 하시나요?,구매 목록
c,네 카드로 하려고요,구매 목록
c,사장님 혹시 상품권 사용 가능한가요?,구매 목록
c,저 온누리 상품권 10만원 있거든요,구매 목록
s,이리 주시겠어요?,구매 목록
s,다 똑같습니다 수선비 삼천원 수선비는 현금으로 주셔야되는데,구매 목록
c,현금으로 드리고,구매 목록
s,육천원,구매 목록
c,네 그럼 oo카드로 할게요,구매 목록
c,네 해주세요 카드로 결제할께요,구매 목록
s,네 알겠습니다 여기 카드 받으시구요?,구매 목록
c,카드로 결제 할께요,구매 목록
s,네~ 카드 주세요,구매 목록
c,사장님 페이도 받으시죠?,구매 목록
s,네 그럼요,구매 목록
c,그럼 요 페이 카드로 할께요,구매 목록
s,여기 카드 받으시구요,구매 목록
s,좋은 엄마시라니까요? 결제는 뭘로 하실껀가요?,구매 목록
c,카드로 할께요,구매 목록
s,카드로 하실거죠?,구매 목록
s,카드결제 하실건가요?,구매 목록
c,네 카드결제 할께요,구매 목록
s,"결제는 어떤걸로 해드릴까요?  현금, 카드?",구매 목록
c,현금으로 할께요  친정어머니가 맘에 드는거 사라고 용돈 주셨거든요,구매 목록
s,결제는 어떻게 해드릴까요?,구매 목록
c,카드로 할께요,구매 목록
s,그럼 결재해드릴께요,구매 목록
s,어떤걸로 결재해드릴까요,구매 목록
c,이카드로 결재해주세요,구매 목록
s,결재는 카드로 하시겠어요?,구매 목록
s,카드 이쪽에 넣어주세요,구매 목록
c,네 어 여기 그러면은 신세계니까 그 이마트 상품권 되나요,구매 목록
s,돼요 있으세요,구매 목록
c,어 이마트 상품권이 제가 이십만원이 있어서,구매 목록
s,그러면은 훨씬 나으시겠다 그러면은 상품권 주시면은 제가 결제해 드릴게요,구매 목록
s,무이자되는 카드가 이렇거든요,구매 목록
c,이 카드 있어요,구매 목록
s,결제는 카드,구매 목록
c,네 카드로,구매 목록
s,일시불이요,구매 목록
c,네,구매 목록
c,예 감사합니다 이거 포장해 드릴께요,구매 목록
s,네,구매 목록
s,무이자되는 카드 중에 뭐 있으세요?,구매 목록
c,이 카드 있어요,구매 목록
s,무이자되는 카드가 이렇거든요,구매 목록
c,이 카드 있어요,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
c,네,구매 목록
s,카드 주시겠어요?,구매 목록
c,예,구매 목록
s,결재는 뭘로 해드릴까요??,구매 목록
c,카드로 해주세요,구매 목록
c,아~~ 혹시 이런 상품권도 받나요??,구매 목록
s,죄송합니다 아직 저희가 그 상품권은 가맹점으로 등록이 안되서 사용이 안되요,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
c,네,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
c,네,구매 목록
s,무이자되는 카드가 이렇거든요,구매 목록
c,이 카드 있어요,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
c,네,구매 목록
s,카드 주시겠어요?,구매 목록
c,예,구매 목록
s,그럼 결재는 뭘로 해드릴까요?,구매 목록
c,혹시 온누리 상품권되나요?,구매 목록
s,아니요 그건 재래시장에서만 사용가능하세요,구매 목록
s,결제해드릴게요. 카드결제하시죠?,구매 목록
s,카드 주시겠어요?,구매 목록
s,카드로 하실꺼죠?,구매 목록
c,네 그렇습니다,구매 목록
c,카드로 드려야되겠네 현금이없네,구매 목록
s,아유 저는 아무거나 상관없어요,구매 목록
c,통장으로 쏴드리는거 괜찮아요,구매 목록
s,예예,구매 목록
c,계좌로 바로 솨드린 거 아니에요,구매 목록
s,에이스 같은 경우는 저희가 이렇게 이렇게 현금으로 보내드리고 본사를 보내거든요,구매 목록
c,에이에스는 현금밖에 안 받으시는 구나,구매 목록
s,예예,구매 목록
c,몰랐네네 알았으면 그렇게 준비했을껀데,구매 목록
s,아니요 모르시는 분들 많으세요 저도 저도 이렇게 판매를 하면서도 깜빡깜빡해서 이렇게 하려고 딴 소리 하잖아요,구매 목록
c,잠시만요 해놓고 국민은행이죠,구매 목록
s,네네,구매 목록
c,그런데 그냥 이렇게 실명으로 보내줘야 되는데,구매 목록
c,제가 제가 뽑에,구매 목록
