발화자,발화문,인텐트
s,이쪽 컴포트화가 제일 잘 나갑니다.,상품 추천
c,평소에 100입으시는데 어느 사이즈가 맞을까요?,상품 추천
s,상세에 실측이 기재되어 있으니 참고하시어 구매 부탁드려요.,상품 추천
c,50번 상품 77사이즈. 입는데 사이즈 어떨까요?,상품 추천
s,개인 체형별로 조금씩 틀리므로 상세 사이즈 표 확인 후 구매 바랍니다.,상품 추천
c,초4/ooo - oo키로 사이즈 뭐 해야 하죠?,상품 추천
s,권장 사이즈는 90정도 추천되나 아이들 체형에 따라 달라질수 있으니 참고만 해주세요.,상품 추천
c,허리SIZE74 인데 그럼 28SIZE 로 주문하면 맞을까요?,상품 추천
s,허리둘레가 74CM 라고 하시는 거면 반으로 나눈 37CM 가 허리 단면입니다.,상품 추천
c,"금, 은 중에 가벼운 느낌은 어떤거에요?",상품 추천
s,가볍게 끼우시려면 은이 좋아요.,상품 추천
c,SK58 내 스타일이 거 모델 키랑 몸무게 그리고 착용 사이즈 알려주시겠어여?평소 55입으면 XL가 맞는 거겠죠?,상품 추천
s,55T 사이즈는 XL로 하시면 됩니다.,상품 추천
c,보통 66시 이즈 입으면 은 어떤 사이즈를 선택해야 하는지요?,상품 추천
s,L사이즈 추천 드립니다. 다만 사이즈의 경우 정확한 안내 어렵습니다.,상품 추천
c,자연스럽게 새치 염색할 만한 제품 있어요?,상품 추천
s,"네, 한방새치커버 제품이 자연스럽습니다.",상품 추천
c,A라인 원피스랑 H라인 원피스 중에 어떤게 더 잘어울리나요?,상품 추천
s,저는 H라인 원피스 추천드릴게요.,상품 추천
c,보통 80A 입으면 어떤 사이즈 선택하면 되나요?,상품 추천
s,타이트하게 입으시려면 90을 편하게 입으시려면 95구매하시면 됩니다.,상품 추천
c,등산할때 신을건데 튼튼한 운동화 있나요?,상품 추천
s,등산할 때 신는 운동화 여기 있습니다.,상품 추천
c,바지 사이즈가 34 이상인데 XL를 사야 하나요 2x L 를 사야 하나요?,상품 추천
s,2xL 를 추천해 드립니다.,상품 추천
c,티105입는 사람.난 닝구는 100사면 되죠?,상품 추천
s,네 사이즈는 브랜드나 소재 등에 따라 차이 있을 수 있기 때문에 말씀해 주신 내용만으로는 정확한 답변 드리기 어려운 점 양해 바랍니다.,상품 추천
c,기장 짧은 제품은 어떤 거죠?,상품 추천
s,네 여자분들은 85 - 44 - 55 정도/90 - 55 - 66 정도 95 - 77 정도 /100 - 88 정도 된다고 보시면 됩니다.,상품 추천
c,바이오더마 제품 말고 아이가 사용할 수 있는 수분크림 추천해 주세요.,상품 추천
s,"네, 바이오더마 제품 외 아이가 사용할 수 있는 수분크림 소개해 드리겠습니다.",상품 추천
c,10번 상품 585 77 사이즈R지작을까요?,상품 추천
s,작습니다 77사이즈면XL로 하여야 합니다.,상품 추천
c,중요한 모임에만 하고 가는 용도로 소장할 악세사리 있을까요?,상품 추천
s,진주 악세사리 세트가 하나 갖고 계시면 모임용으로 두고두고 유용합니다.,상품 추천
c,키 170 - 60키로 사이즈 어떤 걸로 주문해야 할까요?,상품 추천
s,L사이즈 추천 드리지만 고객님들마다 차이가 있기 때문에 정확한 안내를 드리기는 어렵습니다.,상품 추천
c,55사이즈가 딱 맞는데 레귤러 핏임 55가 나을까요?,상품 추천
s,당사는 여러 브랜드 생산된 완제품을 사입해서 판매하므로 한번 품절이 되면 재입고는 어렵습니다.,상품 추천
c,피부톤이 매끈하게 표현되는 커버쿠션은 어떤 건가요?,상품 추천
s,매직스노우쿠션이 피부톤을 매끈하게 표현해 줍니다.,상품 추천
c,"허리가 33인치인데.32, 34 어떤 사이즈로 사야 하나요?",상품 추천
s,프로젝트엠 남성용 히든밴딩 10부 슬랙스 긴바지 32 상품은 허리둘레 86CM 힙둘레 103CM 총기장 98CM 이며 체형에 따라 사이즈 선택이 달라질 수 있습니다.,상품 추천
c,"제가 키 160CM, 62KG, 77사쥬입는데 1번 쉐모아 끌로에 3번 이브 5번 에 뜨 네 가지 싸쥬가 될런지요?",상품 추천
s,착용은 가능하오나 조금 타이트하실수도 있을 것 같습니다.,상품 추천
c,이 수분크림 미백화장품으로 인기가 많은가요?,상품 추천
s,"네, 미백화장품으로 인기가 많은 수분크림입니다.",상품 추천
c,지난번에 34사이즈 주문했는데 너무 커서 결국 세탁소에 가서 줄여서 입었는데 이번에도 크게 나온 게 아닌가요?,상품 추천
s,34사이즈 주문하셨는데 사이즈가 크셨다면 33사이즈를 추천 드리며 혹시라도 32 - 33의 반사이즈라고 생각되시는 경우에는 32사이즈 추천 드립니다.,상품 추천
c,여름에 쓰기 좋은 가벼운 선크림 있을까요?,상품 추천
s,"네, 이쪽에 있는 상품이 여름용입니다.",상품 추천
c,키는 165.가슴 94.어깨 48이면 타이트하게 입으려면 어떤 사이즈를 입어야 할까요?,상품 추천
s,상의 95평소 착용하시는 사이즈 하시면 됩니다.,상품 추천
c,초등 6여 아키 163 몸무게 50인데 사이즈는 어떤 걸 해야 해요?,상품 추천
s,Jx L사이즈로 하시되기장은 약간 짧을 수 있습니다.,상품 추천
c,평소 66입는 데 가능할까요?,상품 추천
s,마다 체형이 달라서 정확한 답변을 드리기 어려운 점 양해 부탁드립니다.,상품 추천
c,요즘 가장 인기있는 핸드크림은 어떤 제품인가요?,상품 추천
s,많이 판매되고 있는 제품은 치자향 핸드크림입니다.,상품 추천
c,"키 163CM 에 체중 60KG, 허리둘레 32CM 인데 M 또는 L을 구입하여야 하나요?",상품 추천
s,안녕하세용 추천 사이즈는 L입니다.,상품 추천
c,요즘 어떤 옷스타일이 유행하나요?,상품 추천
s,레트로풍 스타일이 요즘 인기있어요.,상품 추천
c,새치커버를 하고 싶은데 염색약은 어떤 게 좋아요?,상품 추천
s,검은색 계열의 상품들이 새치커버에 유용합니다.,상품 추천
c,총기장.가슴세 가지만 알아도 구매하는데 좋을 텐데요 남성 180 - 80키로 정도면 어떤 싸이즈가 좋을까요?,상품 추천
s,정 사이즈로 구매 부탁드립니다.,상품 추천
c,그렇지 않은 걸로 찾습니다. 구두신고 장시간 서 있어야 해서요 어떤 제품이 적당할까요?,상품 추천
s,문의하시는 양말은 스타킹처럼 얇지 않습니다. BYC 양말과 FITEX 양말 모두4계절 착용 가능하신 보통 두께의 양말로 고객님들께 꾸준히 사랑받고 있는 상품입니다.,상품 추천
c,39수술 반바지 허리 사이즈 26반 27 되는데 사이즈는 S해야 하나요 M해야 하나요?,상품 추천
s,27 - 28M 사이즈 안내드리고 있으나 상품 신축성이나 개인 체형차이가 있을 수 있어 저희 쪽에서 자세한 안내도와 드리기 어려운 점 양해 부탁드립니다.,상품 추천
c,여성 향수 중에 어떤 게 여름용으로 인기가 좋은가요?,상품 추천
s,랑방 에끌라 드 아르페쥬를 여름용 여성 향수로 추천드립니다.,상품 추천
c,평소 신발 사이즈대로 주문하는 게 맞지?,상품 추천
s,평소 신발 사이즈대로 하시면 됩니다.,상품 추천
c,키 160남 학생은 미디움이 맞을까요?,상품 추천
s,M사이즈 괜찮으실 거 같으신데요 마다 선호하는 핏이나 체형에 따라 개인 차이 있으니 번 거로우시더라도 구매 전 사이즈 표 확인 후 구매 부탁드립니다.,상품 추천
c,"키 173, 허리 25인데 95주문해도 되나요?",상품 추천
s,허리둘레 27 - 29인치 정도 95사이즈가 맞습니다.,상품 추천
c,중학생 키가 175 몸무게 74 정도면 라지하면 작을까요?,상품 추천
s,해당 상품은 남녀 공용상품인 점 우선 참고 부탁드려요. 175/74시면 평균여성 추천L사이즈 남성 추천L 혹은 XL 사이즈 추천 드립니다.,상품 추천
c,다른 제품들은 스판끼가 별로라고 하는데 710은 어떤가요?,상품 추천
s,스판 확인은 이미 지표 옆에 정확하게 기재가 되어 있습니다. 확인 후 구매하시는 게 정확한 방법이십니다.,상품 추천
c,커플로 할만한 남녀 공용 겨울 슬리퍼 좀 추천해주시겠어요?,상품 추천
s,마오 스웨이드 슬리퍼를 추천해드립니다.,상품 추천
c,청바지 32입으면 XL인가요?,상품 추천
s,XL 31 32기본사이즈 안내드리며 고객님들마다 체형이 다르기 때문에 정확한 사이즈 안내가 어렵습니다.,상품 추천
c,여성 사이즈 85/90사이즈 입는데 어떤 칫수를 주문해야 할까요?,상품 추천
s,네 해당 사이즈는 남성 캐주얼로 대략 S M 사이즈 수준으로 보는 편인데요 저희 M사이즈가 조금 커 보일 것 같습니다.,상품 추천
c,50대 여성분 선물로 드릴 건데 진주 목걸이 중에 괜찮은 것 좀 추천해주세요.,상품 추천
s,이 디자인이 50대 여성분에게 무관하게 잘 나가요.,상품 추천
c,아이비에서 105와이셔츠를 권해서 샀는데 여기서는 어떤 사이즈를 택해야 하나요?,상품 추천
s,103 - 185는 딱 예쁘게 맞는 사이즈이구요 106 - 190은 여유 있게 맞을 것 같습니다.,상품 추천
c,100을 싸이즈가 평소에 입는데 작다고 해서요 그럼 XL를 선택해야 함?,상품 추천
s,XL 사이즈가 편안하실 거 같아요.,상품 추천
c,지난달 구입한 보니 워싱본딩 스키니 32사이즈를 구매했는데 커서 이번 꺼는 사이즈를 XL나 L중 어떤 게 나을까요?,상품 추천
s,보통 29 - 30 입으실 경우 L사이즈 31 - 32입으실 경우 XL 사이즈 추천 드리고 있어요.,상품 추천
c,이 수분크림 선물용으로도 좋은가요?,상품 추천
s,네 선물용으로 많이 판매되는 제품이라서 개인적으로도 추천드립니다.,상품 추천
c,제 키가 159인데 바지는 몇으로 입는 게 좋을까여?,상품 추천
s,허리 사이즈는 보통 착용하시는 바지을 보셔야 합니다 바지가 32라고 해서 통이 넓은 일반바지는 아니니까 걱정 안 하셔도 될 것 같습니다.,상품 추천
c,슬림핏 정장을 감안하더라도 상의 50정도 선택해도 적당히 슬림하지 않을까요?,상품 추천
s,고객님께서 기재하신 사이즈 참고로 저희 업체 캐주얼 정장 수트상의 자켓 사이즈 추천 드리면 상의 50사이즈로 착용하시면 조금 넉넉하게 착용하실 것 같습니다.,상품 추천
c,45번 상품 허리 28이면 멀 구입해야 할까요?,상품 추천
s,M사이즈 28권 장 사이즈로 더 가까운 쪽의 사이즈로 참고하시어 구매해 주셔야 할 꺼 같아요.,상품 추천
c,프리를 입어야 할까요 XL라지를 입어야 하나요?,상품 추천
s,XL권해드립니다.,상품 추천
c,허리 34는 XL입나요?,상품 추천
s,죄송하지만 저희는 판매대행사로 정확한 사이즈 안내가 어려운 점 양해 부탁드려요.,상품 추천
c,가슴 사이즈 작은 사람들은 75A 80B 중 에 어떤 거선 택하면 되나요?,상품 추천
s,여신 브라 투톤 브라 90 사이즈 선택하시면 됩니다. 사기 시스루 브라도90P 하시면 볼륨감이 더 표현되는 상품으로 괜찮으실 듯합니다.,상품 추천
c,지성 피부에 잘 맞는 클렌징 워터도 판매하시나요?,상품 추천
s,"네, 지성 피부에 알맞은 클렌징 워터도 판매하고 있습니다.",상품 추천
c,스킨케어 후 끈적끈적한게 싫은데 끈적이지 않고 흡수 되는 제품은 없나요?,상품 추천
s,"네, 흡수력이 높은 제품으로 보여드릴게요",상품 추천
c,제일 잘나가는 부츠는 뭔지 알려주실 수 있습니까?,상품 추천
s,빨간색 부츠가 올해 반응이 좋았어요.,상품 추천
c,몸무게 90킬로키 182입니다 싸이즈 추천 좀 해주세요감이 안 오네요?,상품 추천
s,XXx L사이즈가 작으 실수도 있으실 듯합니다.,상품 추천
c,최대한 따뜻한 스타킹은 어떤 게 있을까요?,상품 추천
s,"네, 최대한 따뜻한 스타킹으로 보여드릴게요.",상품 추천
c,초모리가 에메필에서 주력하는 속옷인 건가요?,상품 추천
s,"네, 초모리는 에메필에서 주력하는 속옷 중 하나입니다.",상품 추천
c,신생아로션으로 추천하는 게 있을까요?,상품 추천
s,아토팜에서 나온 신생아로션을 추천드립니다.,상품 추천
c,172 - 62 키로XL가 맞을까요?,상품 추천
s,같은 사이즈라도 체형에 따라 핏이 달라 정확한 답변이 어려우나 보통 55는 S 55반 66은 M 66반 77이면 L 77반 이상이면 XL 사이즈를 추천 드립니다.,상품 추천
c,아이가 160 - 55 정도나가는데 주니어 37번 구매하려면 사이즈를 몇으로 사면될까요?,상품 추천
s,네 평균 사이즈 알려드리겠습니다. 85 - 13세 14세 신장 150 - 160CM 체중 45 - 50KG 가슴 /힙둘레 85 90 - 15세 16세 신장 160 - 170CM 체중 50 - 55KG 힙둘레 90 95 - 17세 이상 신장 170CM 이상 체중 55KG 이상 가슴/ 힙둘레 95입니다.,상품 추천
c,어떤 게 20대들이 많이 쓰는 로션인가요?,상품 추천
s,20대 분들이 많이 사용하시는 건 이 상품입니다.,상품 추천
c,이 맨투맨 회색이 더 잘 어울릴까요?,상품 추천
s,아니요. 저는 블랙이 더 나으신것 같아요.,상품 추천
c,중국인 바이어한테 선물할 건데 어떤 넥타이를 추천 하시나요?,상품 추천
s,중국분이시면 이 넥타이가 좋을 것 같네요.,상품 추천
c,평소 XL 입는데 밴딩으로 나온 거 L입으면 편하게 잘 맞을까요?,상품 추천
s,신축성은 좋은 상품이 시나 평소 사이즈보다 작게 구매해 주시면 부분적으로 작으실수는 있습니다.,상품 추천
c,정전기가 발생하지 않는 제품 있나요?,상품 추천
s,정전기 발생 여부는 사람마다 다르기 때문에 어떤 제품이라고 정확한 답변을 해드릴 수가 없습니다.,상품 추천
c,아이크림 어떤 제품이 제일 좋아요?,상품 추천
s,아이크림은 이 제품이 가장 인기가 좋습니다.,상품 추천
c,커플링 중 가장 많이 판매되는 디자인이 무엇인지요?,상품 추천
s,이번에 새로 출시된 커플링이에요.,상품 추천
c,105로 입는 게 낫겠죠?,상품 추천
s,상의 사이즈 105로 변경해 보내드리겠습니다.,상품 추천
c,보통 속옷 팬티 100입는데 어떤 사이즈 시켜야 합니까?,상품 추천
s,엑스라지 추천 드립니다.,상품 추천
c,아이가 중학생인데 축구용 쇼츠 어떤 거 있어요?,상품 추천
s,"네, 축구용 쇼츠 중학생 사이즈로 보여드릴게요.",상품 추천
c,"평소 상의 옷 사이즈는 77, 브라컵 사이즈는 85B 착용하는데 100을 신청하면 되쥬?",상품 추천
s,네 100 사이즈 주문하시면 되세요 즐거운 하루 보내세요.,상품 추천
c,추천하는 선크림이 있을까요?,상품 추천
s,요 앞에 있는 종류가 베스트 제품입니다.,상품 추천
c,간절기에 입기 좋은 자켓은 뭐에요?,상품 추천
s,간절기에 입기 좋은 새로들어온 자켓으로 추천해드릴게요.,상품 추천
c,29사이즈이면 28/30 중 어떤 걸 선택해야 나을까요?,상품 추천
s,고객님들마다 체형차이가 있어 저희 측에서 정확하게 안내는 어렵습니다 자세한 부분은 상세 페이지 하단 사이즈 표 참고 부탁드려요.,상품 추천
c,3~4만원 대에서 선물하기 좋은 립스틱 있을까요?,상품 추천
s,"네, 이 제품이 36,800원 짜리인데 선물용으로 잘 나갑니다.",상품 추천
c,흰바지 추천이요 사진으론 차이를 모르겠어요 스판 좋고 비침 없는 게 어떤 건가요?,상품 추천
s,화이트 아이보리 색상은 비침이 발생할 수밖에 없습니다 감안해서 상품 선택 부탁드립니다.,상품 추천
c,브라운 수트랑 네이비 수트 중에 선물하기에 적당한 건 뭘까요?,상품 추천
s,네이비 수트가 스타일링이 용이하기 때문에 네이비를 추천드립니다.,상품 추천
c,스킨케어 말고 피부 관리를 위해 할만한 제품을 골라주실 수 있나요?,상품 추천
s,베이스 스킨케어 외에 본격적인 각질층 케어를 위한 팩의 사용을 추천합니다.,상품 추천
c,처음 라운딩 나가는데 어떤 골프웨어를 입는 게 좋을까요?,상품 추천
s,가장 표준적인 골프웨어로 추천해드리겠습니다.,상품 추천
c,75쿨베이직 28이면 M사이즈 괜찮나요?,상품 추천
s,해당 상품의 경우 신축성은 조금 있는 편이며 S 25.26.M 27.28L 29.30xL 31.32 정도까지 착용 가능하시며 고객님들 체형별핏감은 모두 다르시기 문에 상세 사이즈 꼬 옥 참고해 주셔서 구매해주세요.,상품 추천
c,기본상의 100에 하의 33을 입는데 어떤 사이즈로 주문해야 하나요?,상품 추천
s,상의 2xL 추천 드립니다.,상품 추천
c,이건 롱귀걸이랑 일반이랑 뭐가 더 인기 있어요?,상품 추천
s,이 제품은 롱귀걸이가 훨씬 잘 나가요.,상품 추천
c,182 - 83인데 105입으면 엉덩이 덮을 수 있나요?,상품 추천
s,정확한 사이즈는 직접 체형을 볼 수 있는 게 아니라 말씀 못 드리는 점 양해 부탁드립니다.,상품 추천
c,사이즈.77입는 사람은 어떤 사이즈로 사면 되나요?,상품 추천
s,아쉽게도 온라인 구매 특성상 고객님들 체형에에 따라 사이즈나 원하시는 스타일이 달라질 수 있어서 정확한 답변 드리기 어려운 점 양해 부탁드립니다.,상품 추천
c,"14,20번 둘 다 28사이즈 면뭘 골라야 할까요. L인가요?",상품 추천
s,시드니 슬랙스와 셀비지 플레어 상품은 평소 28사이즈 착용하신다면 M으로 추천 드리는 상품인데요.,상품 추천
c,로션이 끈적거리는건 싫은데 다른 방법은 없나요?,상품 추천
s,점도가 낮은 소프트로션이나 훼이스로션을 사용해 보세요.,상품 추천
c,"평소 허리 27사이즈는 55, 66중 어떤 게 나을까요?",상품 추천
s,27이면 보통 66사이즈를 많이 구매하십니다.,상품 추천
c,22번 DLP 7부노이즈 솔리드 셔츠 평소 사이즈 100인데 L로 주문하면 되나요?,상품 추천
s,사이즈 기호와 다르게 실측 사이즈 확인 부탁드립니다.,상품 추천
c,피서지에서 사용하기 좋은 썬크림 있나요?,상품 추천
s,피서지에서 사용하기에 이 썬크림이 괜찮습니다.,상품 추천
c,수분공급에 좋은 마스크팩은 어떤 것이 있나요?,상품 추천
s,오이나 히알루론산 제품이 수분공급을 위해 만들어졌어요.,상품 추천
c,수분크림 중에서 겨울에 사용하기에 좋은 제품은 어떤건지 알려주실 수 있나요?,상품 추천
s,신제품으로 이번 겨울에 출시된 수분크림이 반응이 좋아요.,상품 추천
c,민감성 피부가 쓸 만한 파운데이션 있을까요?,상품 추천
s,민감성이시면 파운데이션은 다 자극이 있습니다.,상품 추천
c,지금 바지 32 정도입는데 꽉 안 끼는 정도면 XL 사이즈로 하면 되나요?,상품 추천
s,사이즈는 고객님들마다 체형이나핏감이 다를 수 있고 상품마다 고유 사이즈가 다르기 때문에 추천 드리기 어려운 점 양해 부탁드립니다.,상품 추천
c,진 마니아 청바지 평소 27사이즈 입는데 S랑 M사이즈 중 어떤 사이즈를 구입해야 할까요?,상품 추천
s,신축성이 좋은 편이라스몰로 딱 맞게 착용하셔서 늘려입으시는 게 핏이 더 좋지 않으실까 합니다.,상품 추천
c,허리 32인치는 82센치 구입하면 맞나요?,상품 추천
s,허리 32인치 이 실 경우 84사이즈를 추천 드리고 있으나 사이즈 문의는 고객님마다 개인차가 있으므로 신체 사이즈를 알려주신 다 해도 정확한 안내가 어렵습니다.,상품 추천
c,95면 55샹 각하면 될까요?,상품 추천
s,평소 55사이즈면 90 66사이즈는 95사이즈 안내도와 드리고 있어요.,상품 추천
c,신제품 중에 반응 좋은 각질 제거제는 뭔가요?,상품 추천
s,젠틀 딥 클렌징 듀오가 반응이 좋습니다.,상품 추천
c,머리고정 잘되는 헤어스프레이 있나요?,상품 추천
s,이 상품이 머리 고정이 잘됩니다.,상품 추천
c,29 - 2 제품 허리 보통 29입는데 M사이즈 입으면 되나요?,상품 추천
s,M은 작을 거 같습니다.,상품 추천
c,포인트로 사용할 만한 섀도우제품은 어떤게 있는지 추천해 주실 수 있나요?,상품 추천
s,포인트 하시기에는 반짝반짝섀도우가 인기가 있어 많이 나가고 있습니다.,상품 추천
c,사이즈 보통 55반입으면 몇 사이즈 사야 하나유?,상품 추천
s,판매 사기 타 궁금하신 사항은 문의주시면 정성껏 답변해 드릴게요.,상품 추천
c,"01 A코트, 베스트가 세트인 상품인데 베스트가 탈부착 가능한가요?",상품 추천
s,제품 탈부착 가능하신 것으로 확인됩니다.,상품 추천
c,키 181에 몸무게 89입니다 105클까요?,상품 추천
s,상세 사이즈 참고하셔셔 이용 부탁드립니다.,상품 추천
c,177 - 80키로인데 L하면 되져?,상품 추천
s,XL 2xL 중 선택하셔야 할 거 같아요.,상품 추천
c,키 175/77사이즈 입는데라지 사이즈 입으면 될까요?,상품 추천
s,라지는 29 - 30 정도 많이 착용하세요 사이즈는 개인 체형에 따라 차이가 있는 부분이라 참고하셔서 구매 부탁드려요.,상품 추천
c,08번 2021 히치 스키니 워싱이 많이 밝은가요?,상품 추천
s,문의하신 상품은 짙은 청색으로 확인되오나 보시는 분에 따라 느끼시는 색상 차이는 있을 수 있는 점 양해 부탁드립니다.,상품 추천
c,많이 나가는 향수는 어떤건가요?,상품 추천
s,시트러스 향수가 많이 나갑니다.,상품 추천
c,180 - 78 키로인데 어떤 사이즈해야 될까요?,상품 추천
s,옵션명에 사이즈 표기가 없는 상품은 F사이즈이며 XL로 구분되는 상품은 옵션명에 XL로 기재되어 있어요.,상품 추천
c,몸통이 둥글고 처진 가슴입니다. 어떤 브라가 최적일까요?,상품 추천
s,브랜드마다 사이즈 표기가 상이하여 정확한 안내가 어렵습니다. 컴포트랩 글램 90사이즈가 75DE /80D 컵까지 착용 가능하여 둘레는 맞으나 컵이 조금작을 듯합니다.,상품 추천
c,여학생 조끼 100사이즈가 작아서요사이즈 얼마로 시겨야 할까요?,상품 추천
s,교복 몰 CS1 팀입니다 L XL 사이즈 추천 드립니다.,상품 추천
c,프로포즈링으로 제일 많이 팔리는 반지가 뭔가요?,상품 추천
s,이쪽의 솔리테어링이 프로포즈링으로 많이 찾으시는 제품입니다.,상품 추천
c,키가 170이면 M과 L중에 어떤 걸 입는 것이 좋을까요?,상품 추천
s,신장 170CM 이시면 넉넉하게 L사이즈를 권장해 드리고 있습니다.,상품 추천
c,여기서 어떤 제품이 가장 유명한가요?,상품 추천
s,시트러스 향수가 유명한 제품입니다.,상품 추천
c,여기 미백기능성으로 잘 나가는 크림 좀 알려주세요.,상품 추천
s,"네, 미백기능성으로 잘 나가는 크림 안내해드리겠습니다.",상품 추천
c,제일 잘 팔리는 등산복으로 추천 부탁합니다.,상품 추천
s,이 등산복이 제일잘 나갑니다.,상품 추천
c,작년 제이코닉 바지 55사이즈가 허리가 꽉 끼어서 불편했는데 허리 27인치인데 66사이즈 사야 하쥬?,상품 추천
s,출처를 문의주신 상품은 코디용으로 알수 없어 도움을 드리지 못하는 점 양해 바랍니다.,상품 추천
c,클렌징워터 제품 중에서 어떤 제품이 제일 인기 많은지 알려주실 수 있죠?,상품 추천
s,제일 인제있는 제품은 바이오더마 클렌징워터입니다.,상품 추천
c,주문을 85를 해서요 혹시 90입어야 할까요?,상품 추천
s,70C 를 입으셨다면 85사이즈가 잘 맞습니다.,상품 추천
c,제일 잘나가는 부츠는 어떤 건지 알려주세요.,상품 추천
s,빨간색 부츠가 올해 유행이라고 하더라구요.,상품 추천
c,더워서 쿨 실크 브라렛 2개 더 주문했는데 같은 형태면서 시원하고 레이스 없는 상품 있나요?,상품 추천
s,동일한 쿨 실크 소재로 쿨 실크백 레이스가 있고 홑겹 브라 형태인 코코브라가 7월 초 재입고 예정입니다.,상품 추천
c,사이즈가 28 - 30이면 어떤 걸 택해야나요?,상품 추천
s,핫 기모트레이닝 제품은 남녀 공용 제품으로 M사이즈는 24 - 27 L사이즈는 27 - 31 XL 사이즈는 31 - 33 2x L 사이즈는 33 - 36이 신 분들께 권장하고 있습니다.,상품 추천
c,이 디자인이 요즘 유행인가요?,상품 추천
s,네. 이 상품이 가장 유행입니다.,상품 추천
c,23번 슬랙 수사고 싶은데 댓글보니까 사이즈 문제가 많은 거 같네요 평소 25입는데 S사면 되나요?,상품 추천
s,평소에 착용해주시는 사이즈와 비교 확인 후 구매 부탁드립니다고객님들 체형에 따라핏감은 모두 상이하셔서 판매자 자체 판단으로 사이즈는 추천 확답드리지 못하는 점 양해 부탁드립니다.,상품 추천
c,키 142 몸무게 40인데 몇 사이즈를 입혀야 하나요?,상품 추천
s,상세에 자로 잰 사이즈 있고요 XL 착용하시면 될 것 같네요.,상품 추천
c,주름개선에 효과 좋은 제품은 어떤거에요?,상품 추천
s,주름개선 기능성 제품들 보여드리겠습니다.,상품 추천
c,77사이즈면 사이즈 어떤 걸로 하져?,상품 추천
s,정확한 부분 상품 페이지 내 사이즈 표 참고 부탁드려요.,상품 추천
c,13번 시키려고 하는데 허리 27입는데 M을 시켜야 되요 L을 시켜야 되요?,상품 추천
s,상품마다 사이즈는 상이하며 사이즈는 보통 S 25.26M 27.28L 29.30 정도까지 착용 가능하시며 고객님들 체형별핏감은 모두 다르시기 때문에 상세 사이즈 꼬 옥 참고해 주셔서 구매해주세요.,상품 추천
c,40대 여성이 착용하기엔 금이 다른 거랑 비교했을 때 낫겠죠?,상품 추천
s,"네, 금을 좀 더 추천해드려요.",상품 추천
c,"보통 55를 허리 사이즈가 70으로 입는데 사이즈표를 보니 조거팬츠72와 와이드 팬츠 66으로 갇은 55사이즈라도 허리 사이즈가 너무 차이가 나네요. 55, 66중 어느 사이즈로 해야 하나요?",상품 추천
s,정사이즈로 제작된 상품으로 평소 착용하시던 사이즈대로 선택하시면 됩니다.,상품 추천
c,초등 6학년 키 152CM 몸무게 45KG 정도면 S사이즈 맞을까요?,상품 추천
s,문의주신 상품은 정사이즈로 나온 제품이므로 평소 착용하시는 사이즈로 구매해 주시면 되십니다,상품 추천
c,FREE사이즈인데 키가 166사이즈는 77입는데 입을 수 있는 건가요?,상품 추천
s,허리는 23 - 54 총기장 88 - 95 사이즈가 위와 같다고 생각하시면 됩니다.,상품 추천
c,14번 구매하고 싶은데 2x L /3xL 면허리 몇 사이즈인가요?,상품 추천
s,14번 허리인치로 32 정도 이시면 투엑스 34 정도이시면 3엑스로 구매해 주시더라구요.,상품 추천
c,남성 허리 32. 상의 100이면 L하면 되져?,상품 추천
s,정도 체형이시면 L사이즈적당히 핏되게 입으실 거 같아요.,상품 추천
c,방금 구매했는데 오늘 보내주세요. 그리고 기 176에 몸무게 70인데 엑스라지 입으면 적당하겠죵?,상품 추천
s,제품마다 약간의 사이즈차이가 있기에 제품명을 알려주시면 답변이 가능합니다.,상품 추천
c,여신 90입으면 편하게 잘 맞는데 탐탐과 셀럽과 사기 레이스도 그대로 사이즈 90입으면 될까요?,상품 추천
s,여신 제품은 몰드가 조금 높은 편이며 캘빈클라인과 셀럽은 몰드가 조금 완만한 편입니다.,상품 추천
c,77사이즈를 입는데 어는 사이즈를 주문해야 할까요?,상품 추천
s,사이즈 참고로는 44 55 S66 M77 L88 XL입니다.,상품 추천
c,3x L 를 입어야 넉넉할까요?,상품 추천
s,평소 착용하시는 옷과 같은 사이즈로 주문해 주시면 되겠습니다.,상품 추천
c,샌들 추천해 주실만한 제품 있나요?,상품 추천
s,이 샌들이 착용감이 좋고 발과의 마찰이 적어 추천해 드립니다.,상품 추천
c,보통 옷이나 언더웨어는 105를 입습니다 사이즈를 XL로 고르면 되는 걸까요?,상품 추천
s,언더웨어 105사이즈의 경우 2xL 입니다. 참고로 허리둘레 30인치 : M입니다.,상품 추천
c,겨울에 쓰기 괜찮은 수분크림은 뭐가 괜찮아요?,상품 추천
s,새로 나온 수분크림이 인기가 있어요.,상품 추천
c,여자 패딩바지73 정도입는데 여기서 몇 짜리를 주문해야 하나요?,상품 추천
s,패딩 바지 일반기성복과 사이즈 동일하다고 보심되는데 고무줄로 되있어서 신축성이 있으니 늘어나기도 하세요.,상품 추천
c,피부색 살려주는 반지 알려주시겠어요?,상품 추천
s,"네, 피부색을 예뻐보이게 하는 반지 알려드릴게요.",상품 추천
c,슬림핏 인가요?,상품 추천
s,일반 런닝에 비해 조금 슬림하게 나온 편입니다 정사이즈를 구매하신 고객님이 대부분이시지만 조금 붙으실 꺼에요.,상품 추천
c,극세사 분홍 공룡 주문하려는데 아이키가 156인데 L을 시켜야 하나요?,상품 추천
